name,title_as_cop_participant,name_in_cop_partitipants_list,attended_cops_from_participants_list
Taiki Kuroda ,Mr.,Mr. Taiki Kuroda ,9
Thomas Frisch ,Mr.,Mr. Thomas Frisch ,9
Thy Sum ,Mr.,Mr. Thy Sum ,9
Vasile Scorpan ,Mr.,Mr. Vasile Scorpan ,9
Veikko Marttila ,Mr.,Mr. Veikko Marttila ,9
Wei Su ,Mr.,Mr. Wei Su ,9
William Breed ,Mr.,Mr. William Breed ,9
Yoshito Izumi ,Mr.,Mr. Yoshito Izumi ,9
Anke Herold ,Ms.,Ms. Anke Herold ,9
Astrid Schulz ,Ms.,Ms. Astrid Schulz ,9
Barbara De Rosa-Joynt ,Ms.,Ms. Barbara De Rosa-Joynt ,9
Barbara Kvac ,Ms.,Ms. Barbara Kvac ,9
Bettina Menne ,Ms.,Ms. Bettina Menne ,9
Bin Liu ,Ms.,Ms. Bin Liu ,9
Bo Lim ,Ms.,Ms. Bo Lim ,9
Erja Fagerlund ,Ms.,Ms. Erja Fagerlund ,9
Fathiya Abdulmajid ,Ms.,Ms. Fathiya Abdulmajid ,9
Fatou Ndeye Gaye ,Ms.,Ms. Fatou Ndeye Gaye ,9
Gabriela Fischerova ,Ms.,Ms. Gabriela Fischerova ,9
Helena Princova ,Ms.,Ms. Helena Princova ,9
Jane Ellis ,Ms.,Ms. Jane Ellis ,9
Joyceline A. Goco ,Ms.,Ms. Joyceline A. Goco ,9
Karin Radiko ,Ms.,Ms. Karin Radiko ,9
Linda Moodie ,Ms.,Ms. Linda Moodie ,9
Linda Siegele ,Ms.,Ms. Linda Siegele ,9
Marie Boehm ,Ms.,Ms. Marie Boehm ,9
Mariko Fujimori ,Ms.,Ms. Mariko Fujimori ,9
Marta Szigeti Bonifert ,Ms.,Ms. Marta Szigeti Bonifert ,9
Martina Jung ,Ms.,Ms. Martina Jung ,9
Paola Geronzi ,Ms.,Ms. Paola Geronzi ,9
Paula Pinto Bennati ,Ms.,Ms. Paula Pinto Bennati ,9
Satu Hassi ,Ms.,Ms. Satu Hassi ,9
Shira Yoffe ,Ms.,Ms. Shira Yoffe ,9
Shulamit Nezer ,Ms.,Ms. Shulamit Nezer ,9
Sumaya Ahmed Zakieldeen ,Ms.,Ms. Sumaya Ahmed Zakieldeen ,9
Susan Biniaz ,Ms.,Ms. Susan Biniaz ,9
Susan Povenmire ,Ms.,Ms. Susan Povenmire ,9
Teresa Hobgood ,Ms.,Ms. Teresa Hobgood ,9
Ulrike RÃ¶hr ,Ms.,Ms. Ulrike RÃ¶hr ,9
Umayra Taghiyeva ,Ms.,Ms. Umayra Taghiyeva ,9
Wendy Poulton ,Ms.,Ms. Wendy Poulton ,9
Wha-Jin Han ,Ms.,Ms. Wha-Jin Han ,9
Yuri Okubo ,Ms.,Ms. Yuri Okubo ,9
Cherif Rahmani ,S.E. M.,S.E. M. Cherif Rahmani ,9
Fernando Tudela Abad ,Sr.,Sr. Fernando Tudela Abad ,9
Javier Garcia ,Sr.,Sr. Javier Garcia ,9
William AlpÃ­zar ZÃºÃ±iga ,Sr.,Sr. William AlpÃ­zar ZÃºÃ±iga ,9
Francis Nhema ,H.E. Mr.,H.E. Mr. Francis Nhema ,8
George Pullicino ,H.E. Mr.,H.E. Mr. George Pullicino ,8
Michael Zammit Cutajar ,H.E. Mr.,H.E. Mr. Michael Zammit Cutajar ,8
AimÃ© Mbuyi Kalombo ,M.,M. AimÃ© Mbuyi Kalombo ,8
Boubacar Sidiki Dembele ,M.,M. Boubacar Sidiki Dembele ,8
Jean-Claude Gazeau ,M.,M. Jean-Claude Gazeau ,8
Kamel Djemouai ,M.,M. Kamel Djemouai ,8
Mamadou Honadia ,M.,M. Mamadou Honadia ,8
Marc-Antoine Martin ,M.,M. Marc-Antoine Martin ,8
Ousmane Fall Sarr ,M.,M. Ousmane Fall Sarr ,8
RÃ©gis Juvanon du Vachat ,M.,M. RÃ©gis Juvanon du Vachat ,8
Aaron Cosbey ,Mr.,Mr. Aaron Cosbey ,8
Achim Steiner ,Mr.,Mr. Achim Steiner ,8
Agus Pratama Sari ,Mr.,Mr. Agus Pratama Sari ,8
Ahsan Uddin Ahmed ,Mr.,Mr. Ahsan Uddin Ahmed ,8
Akio Morishima ,Mr.,Mr. Akio Morishima ,8
Anders Turesson ,Mr.,Mr. Anders Turesson ,8
Andrea Pinna ,Mr.,Mr. Andrea Pinna ,8
Anton Hilber ,Mr.,Mr. Anton Hilber ,8
Antonio Lumicisi ,Mr.,Mr. Antonio Lumicisi ,8
Arni Finnsson ,Mr.,Mr. Arni Finnsson ,8
Arthur Wellington Rolle ,Mr.,Mr. Arthur Wellington Rolle ,8
