donor;purposeName;nr of projects;total amount;amount per capita (amount / capita average 2010-2012);amount per gdp (amount / sum gdp 2010 - 2012);;Settings;;;;;;;;;;;;
Greece;Material relief assistance and services;1;0;3,9636E-11;1E-15;;;;;;;;;;;;;;
Iceland;Forestry education/training;1;0,58;1,81394E-06;1,4401E-11;;;;;;;;;;;;;;
Iceland;Women's equality organisations and institutions;1;0,16;4,91015E-07;3,898E-12;;;;;;;;;;;;;;
Iceland;Environmental education/training;1;0,12;3,68511E-07;2,926E-12;;;;;;;;;;;;;;
Iceland;Environmental policy and admin. mgmt;1;0,01;3,35419E-08;2,66E-13;;;;;;;;;;;;;;
Ireland;Multisector aid;50;10,56;2,32314E-06;1,6385E-11;;;;;;;;;;;;;;
Ireland;Administrative costs (non-sector allocable);23;0,11;2,37464E-08;1,67E-13;;;;;;;;;;;;;;
Ireland;Urban development and management;20;1,8;3,95871E-07;2,792E-12;;;;;;;;;;;;;;
Ireland;Rural development;19;1,6;3,52347E-07;2,485E-12;;;;;;;;;;;;;;
Ireland;Public sector policy and adm. management;16;1,87;4,11216E-07;2,9E-12;;;;;;;;;;;;;;
Ireland;Agricultural policy & admin. mgmt;16;0,06;1,39015E-08;9,8E-14;;;;;;;;;;;;;;
Ireland;Environmental education/training;10;1,08;2,36794E-07;1,67E-12;;;;;;;;;;;;;;
Ireland;Decentralisation and support to subnational govt.;10;1,03;2,26509E-07;1,598E-12;;;;;;;;;;;;;;
Ireland;Human rights;8;1,42;3,11327E-07;2,196E-12;;;;;;;;;;;;;;
Ireland;Anti-corruption organisations and institutions;7;0,24;5,19598E-08;3,66E-13;;;;;;;;;;;;;;
Ireland;Environmental research;6;1,64;3,59963E-07;2,539E-12;;;;;;;;;;;;;;
Ireland;Elections;6;0,19;4,08439E-08;2,88E-13;;;;;;;;;;;;;;
Ireland;Food crop production;5;1,4;3,08507E-07;2,176E-12;;;;;;;;;;;;;;
Ireland;Basic nutrition;5;0,03;5,83211E-09;4,1E-14;;;;;;;;;;;;;;
Ireland;Democratic participation and civil society;5;0,01;3,26744E-09;2,3E-14;;;;;;;;;;;;;;
Ireland;Social mitigation of HIV/AIDS;4;5,77;1,26914E-06;8,951E-12;;;;;;;;;;;;;;
Ireland;Research/scientific institutions;4;0,5;1,10209E-07;7,77E-13;;;;;;;;;;;;;;
