Person,Year,Arena,Event,Name_ID,Participations Count,name,title_as_cop_participant,name_in_cop_partitipants_list,attended_cops_from_participants_list,country,filename,Words count,Key
Joanna Lewis,2003,Cop Side Event,2003_Cop Side Event,joanna lewis,4,Joanna Lewis,Ms.,Ms. Joanna Lewis,6,,,2,Joanna Lewis|2003|Cop Side Event
Joanna Lewis,2006,Cop Side Event,2006_Cop Side Event,joanna lewis,4,Joanna Lewis,Ms.,Ms. Joanna Lewis,6,,,2,Joanna Lewis|2006|Cop Side Event
Joanna Lewis,2007,Cop Side Event,2007_Cop Side Event,joanna lewis,4,Joanna Lewis,Ms.,Ms. Joanna Lewis,6,,,2,Joanna Lewis|2007|Cop Side Event
Joanna Lewis,2012,Cop Side Event,2012_Cop Side Event,joanna lewis,4,Joanna Lewis,Ms.,Ms. Joanna Lewis,6,,,2,Joanna Lewis|2012|Cop Side Event
Joanne Dulce,2009,Cop Side Event,2009_Cop Side Event,joanne dulce,1,Joanne Dulce,Ms.,Ms. Joanne Dulce,2,,,2,Joanne Dulce|2009|Cop Side Event
Jocelyn Paul,2010,Consultative group of experts,2010_Consultative group of experts,jocelyn paul,3,Jocelyn Paul,Ms.,Ms. Jocelyn Paul,2,,FCCC-SBI-2010-10,2,Jocelyn Paul|2010|Consultative group of experts
Jocelyn Paul,2010,SBI,2010_SBI,jocelyn paul,3,Jocelyn Paul,Ms.,Ms. Jocelyn Paul,2,,FCCC-SBI-2010-10,2,Jocelyn Paul|2010|SBI
Jocelyn Paul,2011,Consultative group of experts,2011_Consultative group of experts,jocelyn paul,3,Jocelyn Paul,Ms.,Ms. Jocelyn Paul,2,,FCCC-SBI-2010-10,2,Jocelyn Paul|2011|Consultative group of experts
Jochen Flasbarth,2009,Cop Side Event,2009_Cop Side Event,jochen flasbarth,1,Jochen Flasbarth,Mr.,Mr. Jochen Flasbarth,7,,,2,Jochen Flasbarth|2009|Cop Side Event
Jochen Harnisch,2009,Cop Side Event,2009_Cop Side Event,jochen harnisch,4,Jochen Harnisch,Mr.,Mr. Jochen Harnisch,5,,,2,Jochen Harnisch|2009|Cop Side Event
